# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	firstrev	claims
Friedrich Engels	124113	478	1305	84	3	112	439	1252	26	2003-05-22T19:06:22Z	114
Paul Heyse	56756	343	781	37	4	74	303	409	18	2003-06-08T19:51:46Z	82
Max Stirner	29988	271	711	46	4	50	115	206	11	2003-04-22T21:10:18Z	79
Theodor Fontane	69311	909	1893	94	4	49	322	1636	35	2002-05-13T13:59:54Z	101
August Bebel	114634	434	1131	46	3	43	394	683	17	2002-11-17T23:04:34Z	79
Georg Büchner	35643	725	1348	40	2	47	220	1068	14	2003-10-11T19:36:29Z	93
Wilhelm Busch	127986	862	1902	48	3	43	348	587	20	2003-01-24T21:57:48Z	92
Friedrich Hebbel	27892	335	544	39	5	33	120	614	20	2004-01-12T13:12:03Z	73
Theodor Storm	38251	764	1460	54	2	40	282	631	23	2003-05-25T11:01:50Z	71
Eduard Mörike	36552	538	1107	37	4	32	167	514	23	2002-09-09T19:06:52Z	85
David Friedrich Strauß	16532	144	191	18	3	34	97	195	12	2003-11-29T10:01:05Z	55
August Schleicher	19055	114	275	16	2	38	127	81	17	2003-09-13T23:45:27Z	63
Wilhelm Raabe	28333	319	588	38	2	28	171	432	25	2002-09-09T19:09:11Z	61
Berthold Auerbach	22638	176	284	28	3	19	113	154	19	2003-09-05T08:23:07Z	58
Paul Julius Reuter	7285	110	143	18	1	31	43	45	11	2005-04-05T11:57:36Z	42
Albert Lortzing	13503	206	290	27	2	31	115	411	19	2002-12-01T21:30:59Z	64
Adolf Bastian	14034	116	181	32	1	26	93	72	15	2004-03-02T20:40:00Z	54
Ludwig Büchner	14979	108	197	24	2	26	90	76	14	2003-12-14T11:56:03Z	65
Emanuel Geibel	40743	264	583	63	4	17	164	291	17	2003-12-17T23:04:29Z	60
Karl Gutzkow	25229	162	292	30	2	21	111	244	18	2004-10-30T20:04:59Z	55
Eugen Dühring	23456	94	289	44	0	28	112	67	9	2006-09-05T02:19:36Z	47
Peter Cornelius	10944	113	151	18	1	26	54	131	17	2004-04-30T20:39:56Z	58
Gustav Freytag	26847	233	403	24	3	21	137	263	19	2004-03-09T08:46:18Z	61
Georg Herwegh	23240	220	382	28	3	18	146	218	23	2003-06-08T20:06:20Z	62
Wilhelm Weitling	19916	123	205	24	2	19	82	92	16	2004-05-21T17:27:14Z	40
Carl Schurz	27252	362	622	40	2	15	258	308	26	2004-02-05T14:50:45Z	62
Christian Dietrich Grabbe	16985	194	345	26	3	17	91	223	14	2004-03-20T22:34:51Z	63
Eduard Zeller	12135	85	150	39	2	17	55	109	30	2005-04-05T12:40:40Z	59
Heinrich Hoffmann	15460	162	245	21	3	17	51	139	20	2003-01-28T09:27:39Z	74
Konrad Duden	13271	298	480	20	0	22	78	91	13	2002-07-07T09:46:11Z	36
Georg Ebers	11710	92	141	27	2	18	61	70	19	2004-08-04T08:35:33Z	60
Otto Ludwig	11483	104	162	18	3	16	62	80	13	2004-05-16T15:21:51Z	51
Fritz Reuter	33142	279	556	32	4	17	164	438	19	2003-06-22T17:51:52Z	80
Wilhelm Marr	23018	135	216	29	1	17	98	56	12	2004-09-11T13:33:48Z	30
Handrij Zejler	2747	50	59	10	0	19	23	45	9	2005-10-22T20:54:19Z	28
Ferdinand Freiligrath	43718	237	421	88	4	12	181	319	20	2003-12-17T19:22:41Z	55
Sebastian Kneipp	23840	261	541	24	2	17	127	238	13	2004-02-24T12:28:26Z	50
Gustav Nachtigal	13619	160	239	21	1	18	137	155	18	2003-12-07T11:10:30Z	55
Karl Gützlaff	10345	82	129	11	1	16	73	24	11	2005-04-17T19:56:55Z	45
Friedrich Theodor Vischer	13639	128	220	22	3	13	107	141	24	2003-07-11T19:48:01Z	61
Carl Alexander	15361	123	223	16	0	19	99	223	12	2004-09-01T07:23:12Z	45
Paul de Lagarde	22556	141	230	19	3	16	121	105	13	2005-04-05T23:41:50Z	49
Georg Gottfried Gervinus	10919	89	124	16	2	15	67	104	15	2004-06-26T19:08:06Z	55
Gerhard Rohlfs	21123	162	271	19	2	15	139	108	12	2003-11-29T21:26:21Z	47
Theodor Nöldeke	6990	87	142	19	1	15	43	130	23	2005-07-04T11:09:32Z	53
Ludwig Bechstein	19749	210	316	31	3	13	193	432	24	2004-02-06T15:36:59Z	62
Friedrich von Bodenstedt	9160	67	106	22	3	10	46	93	18	2007-08-11T07:19:44Z	52
Ferdinand von Mueller	16740	75	117	25	1	15	96	154	19	2006-10-08T00:22:04Z	57
Joseph Victor von Scheffel	26144	249	401	32	3	13	131	304	20	2004-03-13T02:00:37Z	62
Ferdinand Gregorovius	14065	107	202	28	2	12	61	149	22	2004-08-20T06:51:35Z	57
